ID,电影名称,评分,信息,短评,url
89,摩登时代,9.3,导演: 查理·卓别林 Charles Chaplin主演: 查理·卓别林 Charles Chaplin ...                            1936美国剧情 喜剧 爱情,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
90,喜剧之王,8.8,导演: 周星驰 Stephen Chow  李力持 Lik-Chi Lee主演: 周星驰 Stephen Ch...                            1999中国香港喜剧 剧情 爱情,我是一个演员。,https://movie.douban.com/subject/1302425/
91,致命ID,8.9,导演: 詹姆斯·曼高德 James Mangold主演: 约翰·库萨克 John Cusack  雷...                            2003美国剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
92,杀人回忆,8.9,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song  金相庆 Sang-kyun...                            2003韩国剧情 动作 犯罪 悬疑 惊悚,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
93,七宗罪,8.8,导演: 大卫·芬奇 David Fincher主演: 摩根·弗里曼 Morgan Freeman  布...                            1995美国剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
94,红辣椒,9.1,导演: 今敏 Satoshi Kon主演: 林原惠美 Megumi Hayashibara  江守彻 Toru...                            2006日本动画 悬疑 科幻 惊悚,梦的勾结。,https://movie.douban.com/subject/1865703/
95,加勒比海盗,8.8,导演: 戈尔·维宾斯基 Gore Verbinski主演: 约翰尼·德普 Johnny Depp  ...                            2003美国动作 冒险 奇幻,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
96,哈利·波特与密室,8.9,导演: Chris Columbus主演: 丹尼尔·雷德克里夫 Daniel Radcliffe  艾玛...                            2002英国 美国奇幻 冒险,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
97,狩猎,9.1,导演: 托马斯·温特伯格 Thomas Vinterberg主演: 麦斯·米科尔森 Mads Mik...                            2012丹麦 瑞典剧情,人言可畏。,https://movie.douban.com/subject/6985810/
98,一一,9.1,导演: 杨德昌 Edward Yang主演: 吴念真  李凯莉 Kelly Lee  金燕玲 Elai...                            2000中国台湾 日本剧情 爱情 家庭,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
99,7号房的礼物,8.9,导演: 李焕庆 Hwan-kyeong Lee主演: 柳承龙 Seung-yong Ryoo  朴信惠 Shi...                            2013韩国剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
100,被嫌弃的松子的一生,8.9,导演: 中岛哲也 Tetsuya Nakashima主演: 中谷美纪 Miki Nakatani  瑛太 E...                            2006日本剧情 歌舞,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
101,唐伯虎点秋香,8.7,导演: 李力持 Lik-Chi Lee主演: 周星驰 Stephen Chow  巩俐 Li Gong  陈...                            1993中国香港喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
102,请以你的名字呼唤我,8.9,导演: 卢卡·瓜达尼诺 Luca Guadagnino主演: 艾米·汉莫 Armie Hammer  ...                            2017意大利 法国 巴西 美国剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
103,断背山,8.8,导演: 李安 Ang Lee主演: 希斯·莱杰 Heath Ledger  杰克·吉伦哈尔 Jake...                            2005美国 加拿大剧情 爱情 同性 家庭,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
104,剪刀手爱德华,8.7,导演: 蒂姆·波顿 Tim Burton主演: 约翰尼·德普 Johnny Depp  薇诺娜·...                            1990美国剧情 奇幻 爱情,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
105,入殓师,8.9,导演: 泷田洋二郎 Yôjirô Takita主演: 本木雅弘 Masahiro Motoki  ...                            2008日本剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
106,爱在黎明破晓前,8.8,导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...                            1995美国 奥地利 瑞士剧情 爱情,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
107,勇敢的心,8.9,导演: 梅尔·吉布森 Mel Gibson主演: 梅尔·吉布森 Mel Gibson  苏菲·玛...                            1995美国动作 传记 剧情 历史 战争,史诗大片的典范。,https://movie.douban.com/subject/1294639/
